season,sport,division,stage,rank,team,team_name,wins,losses,points,details,mvp,rookie,source
1988-1989,Chess,Juniors,Final Standings,3,NU,National University,,,10,David Ravara,,,IMG_0851
1988-1989,Chess,Juniors,Final Standings,3,UST,University of Santo Tomas,,,,,,,IMG_0851
1988-1989,Football,Men's,Final Standings,1,UST,University of Santo Tomas,8,3,,0,,,IMG_0857
1988-1989,Football,Men's,Final Standings,2,DLSU,De La Salle University,3,5,,2,,,IMG_0857
1988-1989,Football,Men's,Final Standings,3,ADMU,Ateneo de Manila University,3,4,,3,,,IMG_0857
1988-1989,Football,Men's,Final Standings,4,FEU,Far Eastern University,3,4,,3,,,IMG_0857
1988-1989,Football,Men's,Final Standings,5,UP,University of the Philippines,3,3,,4,,,IMG_0857
1988-1989,Football,Men's,Final Standings,6,UE,University of the East,1,0,,9,,,IMG_0857
1988-1989,General Championship,Collegiate,Final Standings,2,UST,University of Santo Tomas,,,105,1,,,IMG_0793
1988-1989,General Championship,Collegiate,Final Standings,3,FEU,Far Eastern University,,,79,2,,,IMG_0793
1988-1989,General Championship,Collegiate,Final Standings,4,AdU,Adamson University,,,60,5,,,IMG_0793
1988-1989,General Championship,Collegiate,Final Standings,5,UP,University of the Philippines,,,59,7,,,IMG_0793
1988-1989,General Championship,Collegiate,Final Standings,6,DLSU,De La Salle University,,,58.5,10,,,IMG_0793
1988-1989,General Championship,Collegiate,Final Standings,7,ADMU,Ateneo de Manila University,,,33.5,15,,,IMG_0793
1988-1989,General Championship,Collegiate,Final Standings,8,NU,National University,,,21,-,,,IMG_0793
1988-1989,General Championship,Collegiate,Final Standings,9,UE,University of the East,,,12,3,,,IMG_0793
1988-1989,General Championship,junior,Final Standings,1,ADMU,Ateneo de Manila University,,,35,,,,structured/overall_standings/1988-1989.json
1988-1989,General Championship,junior,Final Standings,2,UST,University of Santo Tomas,,,31,,,,structured/overall_standings/1988-1989.json
1988-1989,General Championship,junior,Final Standings,3,FEU,Far Eastern University,,,19,,,,structured/overall_standings/1988-1989.json
1988-1989,General Championship,junior,Final Standings,4,AdU,Adamson University,,,18,,,,structured/overall_standings/1988-1989.json
1988-1989,General Championship,junior,Final Standings,5,UP,University of the Philippines,,,15,,,,structured/overall_standings/1988-1989.json
1988-1989,General Championship,junior,Final Standings,6,DLSU,De La Salle University,,,12,,,,structured/overall_standings/1988-1989.json
1988-1989,General Championship,junior,Final Standings,7,NU,National University,,,8,,,,structured/overall_standings/1988-1989.json
1988-1989,General Championship,junior,Final Standings,8,UE,University of the East,,,3,,,,structured/overall_standings/1988-1989.json
1988-1989,General Championship,Juniors,Final Standings,1,ADMU,Ateneo de Manila University,,,35,5,,,IMG_0793
1988-1989,General Championship,Juniors,Final Standings,2,UST,University of Santo Tomas,,,31,10,,,IMG_0793
1988-1989,General Championship,Juniors,Final Standings,3,FEU,Far Eastern University,,,19,7,,,IMG_0793
1988-1989,General Championship,Juniors,Final Standings,4,AdU,Adamson University,,,18,15,,,IMG_0793
1988-1989,General Championship,Juniors,Final Standings,5,UP,University of the Philippines,,,15,2,,,IMG_0793
1988-1989,General Championship,Juniors,Final Standings,6,DLSU,De La Salle University,,,12,1,,,IMG_0793
1988-1989,General Championship,Juniors,Final Standings,7,NU,National University,,,8,-,,,IMG_0793
1988-1989,General Championship,Juniors,Final Standings,8,UE,University of the East,,,3,3,,,IMG_0793
1988-1989,Lawn Tennis,Men's,Final Standings,1,DLSU,De La Salle University,,,,,,,structured/tennis/1988-1989.json
1988-1989,Lawn Tennis,Men's,Final Standings,2,ADMU,Ateneo de Manila University,,,,,,,structured/tennis/1988-1989.json
1988-1989,Lawn Tennis,Men's,Final Standings,3,AdU,Adamson University,,,,,,,structured/tennis/1988-1989.json
1988-1989,Lawn Tennis,Men's,Final Standings,4,UE,University of the East,,,,,,,structured/tennis/1988-1989.json
1988-1989,Lawn Tennis,Men's,Final Standings,5,UST,University of Santo Tomas,,,,,,,structured/tennis/1988-1989.json
1988-1989,Table Tennis,Juniors,Final Standings,1,ADMU,Ateneo de Manila University,3,0,,Track and Field,,,"IMG_0791, IMG_0853, IMG_0854"
1988-1989,Table Tennis,Juniors,Final Standings,1,AdU,Adamson University,,,,Basketball,,,"IMG_0791, IMG_0853, IMG_0854"
1988-1989,Table Tennis,Juniors,Final Standings,2,UST,University of Santo Tomas,3,1,,Swimming,,,"IMG_0791, IMG_0853, IMG_0854"
1988-1989,Table Tennis,Juniors,Final Standings,2,FEU,Far Eastern University,,,,Chess,,,"IMG_0791, IMG_0853, IMG_0854"
1988-1989,Table Tennis,Juniors,Final Standings,2,NU,National University,,,,,,,"IMG_0791, IMG_0853, IMG_0854"
1988-1989,Table Tennis,Juniors,Final Standings,3,UP,University of the Philippines,3,0,,,,,"IMG_0791, IMG_0853, IMG_0854"
1988-1989,Table Tennis,Juniors,Final Standings,5,DLSU,De La Salle University,0,3,,,,,"IMG_0791, IMG_0853, IMG_0854"
1988-1989,Table Tennis,Men's,Final Standings,1,UST,University of Santo Tomas,,,,CHAMPION,,,structured/table_tennis/1988-1989.json
1988-1989,Table Tennis,Men's,Final Standings,2,AdU,Adamson University,,,,Runner-up,,,structured/table_tennis/1988-1989.json
1988-1989,Table Tennis,Men's,Final Standings,3,NU,National University,,,,Third Place,,,structured/table_tennis/1988-1989.json
1988-1989,Table Tennis,Men's,Final Standings,4,FEU,Far Eastern University,,,,Fourth Place,,,structured/table_tennis/1988-1989.json
1988-1989,Table Tennis,Men's,Final Standings,5,DLSU,De La Salle University,,,,Fifth Place,,,structured/table_tennis/1988-1989.json
1988-1989,Table Tennis,Men's,Final Standings,6,UP,University of the Philippines,,,,Sixth Place,,,structured/table_tennis/1988-1989.json
1988-1989,Table Tennis,Men's,Final Standings,7,ADMU,Ateneo de Manila University,,,,Seventh Place,,,structured/table_tennis/1988-1989.json
1988-1989,Table Tennis,Women's,Final Standings,1,FEU,Far Eastern University,,,,,,,IMG_0853
1988-1989,Table Tennis,Women's,Final Standings,2,UST,University of Santo Tomas,,,,,,,IMG_0853
1988-1989,Table Tennis,Women's,Final Standings,3,DLSU,De La Salle University,,,,,,,IMG_0853
1988-1989,Table Tennis,Women's,Final Standings,4,NU,National University,,,,,,,IMG_0853
1988-1989,Table Tennis,Women's,Final Standings,5,ADMU,Ateneo de Manila University,,,,,,,IMG_0853
1988-1989,Table Tennis,Women's,Final Standings,6,UP,University of the Philippines,,,,,,,IMG_0853
1988-1989,Table Tennis,Women's,Final Standings,7,AdU,Adamson University,,,,,,,IMG_0853
1988-1989,Tae Kwon Do,Men's,Final Standings,1,FEU,Far Eastern University,,,,Champion,,,IMG_0859
1988-1989,Tae Kwon Do,Men's,Final Standings,2,DLSU,De La Salle University,,,,Runner-Up,,,IMG_0859
1988-1989,Tae Kwon Do,Men's,Final Standings,3,ADMU,Ateneo de Manila University,,,,Third place,,,IMG_0859
1988-1989,Tae Kwon Do,Men's,Final Standings,4,UST,University of Santo Tomas,,,,Fourth place,,,IMG_0859
1988-1989,Tae Kwon Do,Men's,Final Standings,5,UP,University of the Philippines,,,,Fifth place,,,IMG_0859
1988-1989,Tae Kwon Do,Men's,Final Standings,6,UE,University of the East,,,,Sixth place,,,IMG_0859
1988-1989,Tae Kwon Do,Men's,Final Standings,7,NU,National University,,,,Seventh place,,,IMG_0859
1988-1989,Tae Kwon Do,Men's,Final Standings,8,AdU,Adamson University,,,,Eighth place,,,IMG_0859
1988-1989,Volleyball,Juniors,Final Standings,1,AdU,Adamson University,,,,Basketball,,,book
1988-1989,Volleyball,Juniors,Final Standings,2,FEU,Far Eastern University,,,,Chess,,,book
1988-1989,Volleyball,Juniors,Final Standings,3,UST,University of Santo Tomas,,,,Swimming,,,book
1988-1989,Volleyball,Juniors,Final Standings,4,ADMU,Ateneo de Manila University,,,,Track and Field,,,book
1988-1989,Volleyball,Women's,Final Standings,1,FEU,Far Eastern University,14,0,,Champion,,,structured/volleyball/1988-1989.json
1988-1989,Volleyball,Women's,Final Standings,2,UST,University of Santo Tomas,12,2,,Runner-Up,,,structured/volleyball/1988-1989.json
1988-1989,Volleyball,Women's,Final Standings,3,UP,University of the Philippines,10,4,,Third Place,,,structured/volleyball/1988-1989.json
1988-1989,Volleyball,Women's,Final Standings,4,AdU,Adamson University,8,6,,Fourth Place,,,structured/volleyball/1988-1989.json
1988-1989,Volleyball,Women's,Final Standings,5,UE,University of the East,5,9,,Fifth Place,,,structured/volleyball/1988-1989.json
1988-1989,Volleyball,Women's,Final Standings,6,NU,National University,4,10,,Sixth Place,,,structured/volleyball/1988-1989.json
1988-1989,Volleyball,Women's,Final Standings,7,DLSU,De La Salle University,2,12,,Seventh Place,,,structured/volleyball/1988-1989.json
1988-1989,Volleyball,Women's,Final Standings,8,ADMU,Ateneo de Manila University,1,13,,Eight Place,,,structured/volleyball/1988-1989.json
1987-1988,Baseball,Men's,Final Standings,1,AdU,Adamson University,8,1,,CHAMPION,,,structured/baseball/1987-1988.json
1987-1988,Baseball,Men's,Final Standings,3,UP,University of the Philippines,7,3,,3rd Place,,,structured/baseball/1987-1988.json
1987-1988,Baseball,Men's,Final Standings,4,NU,National University,5,5,,4th Place,,,structured/baseball/1987-1988.json
1987-1988,Baseball,Men's,Final Standings,5,ADMU,Ateneo de Manila University,2,8,,5th Place,,,structured/baseball/1987-1988.json
1987-1988,Baseball,Men's,Final Standings,6,DLSU,De La Salle University,0,10,,6th Place,,,structured/baseball/1987-1988.json
1987-1988,Basketball,Boys,Final Standings,1,FEU,Far Eastern University,13,2,,Champion,,,IMG_0899
1987-1988,Basketball,Boys,Final Standings,2,AdU,Adamson University,12,3,,Runner-Up,,,IMG_0899
1987-1988,Basketball,Boys,Final Standings,3,ADMU,Ateneo de Manila University,10,4,,Third place,,,IMG_0899
1987-1988,Basketball,Boys,Final Standings,4,UST,University of Santo Tomas,9,5,,Fourth place,,,IMG_0899
1987-1988,Basketball,Boys,Final Standings,5,DLSU,De La Salle University,6,8,,Fifth place,,,IMG_0899
1987-1988,Basketball,Boys,Final Standings,6,NU,National University,4,10,,Sixth place,,,IMG_0899
1987-1988,Basketball,Boys,Final Standings,7,UP,University of the Philippines,2,12,,Seventh place,,,IMG_0899
1987-1988,Basketball,Boys,Final Standings,8,UE,University of the East,1,13,,,,,IMG_0899
1987-1988,Basketball,Juniors,Final Standings,2,FEU,Far Eastern University,,,,BASKETBALL,,,book
1987-1988,Basketball,Juniors,Final Standings,3,UST,University of Santo Tomas,,,,CHESS,,,book
1987-1988,Basketball,Juniors,Final Standings,4,DLSU,De La Salle University,,,,SWIMMING,,,book
1987-1988,Basketball,Juniors,Final Standings,5,ADMU,Ateneo de Manila University,,,,TRACK & FIELD,,,book
1987-1988,Basketball,Juniors,Final Standings,6,NU,National University,,,,TABLE TENNIS,,,book
1987-1988,Basketball,Men's,Final Standings,1,ADMU,Ateneo de Manila University,14,1,,,,,structured/basketball/1987-1988.json
1987-1988,Basketball,Men's,Final Standings,2,UE,University of the East,10,5,,,,,structured/basketball/1987-1988.json
1987-1988,Basketball,Men's,Final Standings,3,UP,University of the Philippines,9,5,,,,,structured/basketball/1987-1988.json
1987-1988,Basketball,Men's,Final Standings,4,FEU,Far Eastern University,8,6,,,,,structured/basketball/1987-1988.json
1987-1988,Basketball,Men's,Final Standings,5,DLSU,De La Salle University,7,7,,,,,structured/basketball/1987-1988.json
1987-1988,Basketball,Men's,Final Standings,6,AdU,Adamson University,5,9,,,,,structured/basketball/1987-1988.json
1987-1988,Basketball,Men's,Final Standings,7,UST,University of Santo Tomas,3,11,,,,,structured/basketball/1987-1988.json
1987-1988,Basketball,Men's,Final Standings,8,NU,National University,2,12,,,,,structured/basketball/1987-1988.json
1987-1988,Basketball,Women's,Final Standings,1,UST,University of Santo Tomas,12,1,,,,,IMG_0902
1987-1988,Basketball,Women's,Final Standings,2,ADMU,Ateneo de Manila University,8,6,,,,,IMG_0902
1987-1988,Basketball,Women's,Final Standings,3,FEU,Far Eastern University,7,6,,,,,IMG_0902
1987-1988,Basketball,Women's,Final Standings,4,AdU,Adamson University,6,6,,,,,IMG_0902
1987-1988,Basketball,Women's,Final Standings,5,DLSU,De La Salle University,6,6,,,,,IMG_0902
1987-1988,Basketball,Women's,Final Standings,6,UE,University of the East,3,9,,,,,IMG_0902
1987-1988,Basketball,Women's,Final Standings,7,UP,University of the Philippines,2,10,,,,,IMG_0902
1987-1988,Chess,Juniors,Final Standings,1,FEU,Far Eastern University,,,9,Ronald Bancod,,,IMG_0914
1987-1988,Chess,Juniors,Final Standings,1,UST,University of Santo Tomas,,,10,Champion,,,IMG_0914
1987-1988,Chess,Juniors,Final Standings,3,NU,National University,,,,Third place,,,IMG_0914
1987-1988,Chess,Juniors,Final Standings,4,ADMU,Ateneo de Manila University,,,6,Fourth place,,,IMG_0914
1987-1988,Chess,Juniors,Final Standings,5,AdU,Adamson University,,,,Fifth place,,,IMG_0914
1987-1988,Chess,Juniors,Final Standings,6,DLSU,De La Salle University,,,,Sixth place,,,IMG_0914
1987-1988,Chess,Men's,Final Standings,1,AdU,Adamson University,,,21,,,,structured/chess/1987-1988.json
1987-1988,Chess,Men's,Final Standings,2,UST,University of Santo Tomas,,,19,,,,structured/chess/1987-1988.json
1987-1988,Chess,Men's,Final Standings,3,DLSU,De La Salle University,,,17,,,,structured/chess/1987-1988.json
1987-1988,Chess,Men's,Final Standings,4,FEU,Far Eastern University,,,15,,,,structured/chess/1987-1988.json
1987-1988,Chess,Men's,Final Standings,5,UE,University of the East,,,11,,,,structured/chess/1987-1988.json
1987-1988,Chess,Men's,Final Standings,6,ADMU,Ateneo de Manila University,,,10,,,,structured/chess/1987-1988.json
1987-1988,Football,Men's,Final Standings,1,UST,University of Santo Tomas,4,1,0,17,,,IMG_0931
1987-1988,Football,Men's,Final Standings,2,UP,University of the Philippines,4,0,1,15,,,IMG_0931
1987-1988,Football,Men's,Final Standings,3,FEU,Far Eastern University,3,0,2,13,,,IMG_0931
1987-1988,Football,Men's,Final Standings,4,DLSU,De La Salle University,2,1,2,10,,,IMG_0931
1987-1988,Football,Men's,Final Standings,5,ADMU,Ateneo de Manila University,1,0,4,7,,,IMG_0931
1987-1988,Football,Men's,Final Standings,6,UE,University of the East,0,0,5,3,,,IMG_0931
1987-1988,General Championship,Collegiate,Final Standings,1,UST,University of Santo Tomas,,,120,,,,structured/overall_standings/1987-1988.json
1987-1988,General Championship,Collegiate,Final Standings,2,FEU,Far Eastern University,,,84,,,,structured/overall_standings/1987-1988.json
1987-1988,General Championship,Collegiate,Final Standings,3,AdU,Adamson University,,,57,,,,structured/overall_standings/1987-1988.json
1987-1988,General Championship,Collegiate,Final Standings,4,UP,University of the Philippines,,,53,,,,structured/overall_standings/1987-1988.json
1987-1988,General Championship,Collegiate,Final Standings,5,ADMU,Ateneo de Manila University,,,46,,,,structured/overall_standings/1987-1988.json
1987-1988,General Championship,Collegiate,Final Standings,6,DLSU,De La Salle University,,,41,,,,structured/overall_standings/1987-1988.json
1987-1988,General Championship,Collegiate,Final Standings,7,UE,University of the East,,,18,,,,structured/overall_standings/1987-1988.json
1987-1988,General Championship,Collegiate,Final Standings,8,NU,National University,,,15,,,,structured/overall_standings/1987-1988.json
1987-1988,General Championship,junior,Final Standings,1,ADMU,Ateneo de Manila University,,,30,,,,structured/overall_standings/1987-1988.json
1987-1988,General Championship,junior,Final Standings,2,UST,University of Santo Tomas,,,26,,,,structured/overall_standings/1987-1988.json
1987-1988,General Championship,junior,Final Standings,3,FEU,Far Eastern University,,,24,,,,structured/overall_standings/1987-1988.json
1987-1988,General Championship,junior,Final Standings,4,DLSU,De La Salle University,,,19,,,,structured/overall_standings/1987-1988.json
1987-1988,General Championship,junior,Final Standings,5,NU,National University,,,16,,,,structured/overall_standings/1987-1988.json
1987-1988,General Championship,junior,Final Standings,6,AdU,Adamson University,,,12,,,,structured/overall_standings/1987-1988.json
1987-1988,General Championship,junior,Final Standings,7,UP,University of the Philippines,,,9,,,,structured/overall_standings/1987-1988.json
1987-1988,General Championship,Juniors,Final Standings,1,ADMU,Ateneo de Manila University,,,7,3,,,IMG_0896
1987-1988,General Championship,Juniors,Final Standings,2,UST,University of Santo Tomas,,,1,10,,,IMG_0896
1987-1988,General Championship,Juniors,Final Standings,3,FEU,Far Eastern University,,,15,6,,,IMG_0896
1987-1988,General Championship,Juniors,Final Standings,4,DLSU,De La Salle University,,,3,1,,,IMG_0896
1987-1988,General Championship,Juniors,Final Standings,5,NU,National University,,,2,4,,,IMG_0896
1987-1988,General Championship,Juniors,Final Standings,6,AdU,Adamson University,,,10,2,,,IMG_0896
1987-1988,General Championship,Juniors,Final Standings,7,UP,University of the Philippines,,,1,-,,,IMG_0896
1987-1988,Lawn Tennis,Juniors,Final Standings,2,FEU,Far Eastern University,,,,BASKETBALL,,,book
1987-1988,Lawn Tennis,Juniors,Final Standings,3,UST,University of Santo Tomas,,,,CHESS,,,book
1987-1988,Lawn Tennis,Juniors,Final Standings,4,DLSU,De La Salle University,,,,SWIMMING,,,book
1987-1988,Lawn Tennis,Juniors,Final Standings,5,ADMU,Ateneo de Manila University,,,,TRACK & FIELD,,,book
1987-1988,Lawn Tennis,Juniors,Final Standings,6,NU,National University,,,,TABLE TENNIS,,,book
1987-1988,Lawn Tennis,Men's,Final Standings,1,UST,University of Santo Tomas,8,0,2,Champion,,,"IMG_0929, IMG_0930"
1987-1988,Lawn Tennis,Men's,Final Standings,2,AdU,Adamson University,6,2,2,Singles,,,"IMG_0929, IMG_0930"
1987-1988,Lawn Tennis,Men's,Final Standings,3,DLSU,De La Salle University,3,5,2,Third place,,,"IMG_0929, IMG_0930"
1987-1988,Lawn Tennis,Men's,Final Standings,4,UP,University of the Philippines,,,2,Fourth place,,,"IMG_0929, IMG_0930"
1987-1988,Lawn Tennis,Men's,Final Standings,5,ADMU,Ateneo de Manila University,0,8,,Fifth place,,,"IMG_0929, IMG_0930"
1987-1988,Swimming,Juniors,Final Standings,2,FEU,Far Eastern University,,,,BASKETBALL,,,book
1987-1988,Swimming,Juniors,Final Standings,3,UST,University of Santo Tomas,,,,CHESS,,,book
1987-1988,Swimming,Juniors,Final Standings,4,DLSU,De La Salle University,,,,SWIMMING,,,book
1987-1988,Swimming,Juniors,Final Standings,5,ADMU,Ateneo de Manila University,,,,TRACK & FIELD,,,book
1987-1988,Swimming,Juniors,Final Standings,6,NU,National University,,,,TABLE TENNIS,,,book
1987-1988,Table Tennis,Collegiate,Final Standings,1,UST,University of Santo Tomas,,,120,,,,IMG_0895
1987-1988,Table Tennis,Collegiate,Final Standings,2,FEU,Far Eastern University,,,84,,,,IMG_0895
1987-1988,Table Tennis,Collegiate,Final Standings,3,AdU,Adamson University,,,57,,,,IMG_0895
1987-1988,Table Tennis,Collegiate,Final Standings,4,UP,University of the Philippines,,,53,,,,IMG_0895
1987-1988,Table Tennis,Collegiate,Final Standings,5,ADMU,Ateneo de Manila University,,,46,,,,IMG_0895
1987-1988,Table Tennis,Collegiate,Final Standings,6,DLSU,De La Salle University,,,41,,,,IMG_0895
1987-1988,Table Tennis,Collegiate,Final Standings,7,UE,University of the East,,,18,,,,IMG_0895
1987-1988,Table Tennis,Collegiate,Final Standings,8,NU,National University,,,15,,,,IMG_0895
1987-1988,Table Tennis,Juniors,Final Standings,1,ADMU,Ateneo de Manila University,,,30,TRACK & FIELD,,,"IMG_0894, IMG_0895"
1987-1988,Table Tennis,Juniors,Final Standings,2,UST,University of Santo Tomas,,,26,CHESS,,,"IMG_0894, IMG_0895"
1987-1988,Table Tennis,Juniors,Final Standings,3,FEU,Far Eastern University,,,24,BASKETBALL,,,"IMG_0894, IMG_0895"
1987-1988,Table Tennis,Juniors,Final Standings,4,DLSU,De La Salle University,,,19,SWIMMING,,,"IMG_0894, IMG_0895"
1987-1988,Table Tennis,Juniors,Final Standings,5,NU,National University,,,16,TABLE TENNIS,,,"IMG_0894, IMG_0895"
1987-1988,Table Tennis,Juniors,Final Standings,6,AdU,Adamson University,,,12,,,,"IMG_0894, IMG_0895"
1987-1988,Table Tennis,Juniors,Final Standings,7,UP,University of the Philippines,,,9,,,,"IMG_0894, IMG_0895"
1987-1988,Table Tennis,Men's,Final Standings,1,AdU,Adamson University,8,10,18,,,,structured/table_tennis/1987-1988.json
1987-1988,Table Tennis,Men's,Final Standings,2,NU,National University,8,6,14,,,,structured/table_tennis/1987-1988.json
1987-1988,Table Tennis,Men's,Final Standings,3,DLSU,De La Salle University,0,10,10,,,,structured/table_tennis/1987-1988.json
1987-1988,Table Tennis,Men's,Final Standings,4,FEU,Far Eastern University,7,2,9,,,,structured/table_tennis/1987-1988.json
1987-1988,Table Tennis,Men's,Final Standings,5,ADMU,Ateneo de Manila University,5,2,7,,,,structured/table_tennis/1987-1988.json
1987-1988,Table Tennis,Men's,Final Standings,6,UP,University of the Philippines,2,4,6,,,,structured/table_tennis/1987-1988.json
1987-1988,Table Tennis,Women's,Final Standings,1,UST,University of Santo Tomas,,,,,,,structured/table_tennis/1987-1988.json
1987-1988,Table Tennis,Women's,Final Standings,2,AdU,Adamson University,,,,,,,structured/table_tennis/1987-1988.json
1987-1988,Table Tennis,Women's,Final Standings,3,FEU,Far Eastern University,,,,,,,structured/table_tennis/1987-1988.json
1987-1988,Table Tennis,Women's,Final Standings,4,DLSU,De La Salle University,,,,,,,structured/table_tennis/1987-1988.json
1987-1988,Tae Kwon Do,Men's,Final Standings,1,UST,University of Santo Tomas,,,,FIRST PLACE,,,"IMG_0932, IMG_0933"
1987-1988,Tae Kwon Do,Men's,Final Standings,2,ADMU,Ateneo de Manila University,1,0,,ADMU,,,"IMG_0932, IMG_0933"
1987-1988,Tae Kwon Do,Men's,Final Standings,3,UE,University of the East,1,0,,Third place,,,"IMG_0932, IMG_0933"
1987-1988,Tae Kwon Do,Men's,Final Standings,4,UP,University of the Philippines,1,0,,Fourth place,,,"IMG_0932, IMG_0933"
1987-1988,Tae Kwon Do,Men's,Final Standings,5,DLSU,De La Salle University,0,1,,Fifth place,,,"IMG_0932, IMG_0933"
1987-1988,Tae Kwon Do,Men's,Final Standings,6,FEU,Far Eastern University,0,1,,Sixth place,,,"IMG_0932, IMG_0933"
1987-1988,Tae Kwon Do,Men's,Final Standings,7,AdU,Adamson University,0,1,,Seventh place,,,"IMG_0932, IMG_0933"
1987-1988,Track and Field,Juniors,Final Standings,2,FEU,Far Eastern University,,,,BASKETBALL,,,book
1987-1988,Track and Field,Juniors,Final Standings,3,UST,University of Santo Tomas,,,,CHESS,,,book
1987-1988,Track and Field,Juniors,Final Standings,4,DLSU,De La Salle University,,,,SWIMMING,,,book
1987-1988,Track and Field,Juniors,Final Standings,5,ADMU,Ateneo de Manila University,,,,TRACK & FIELD,,,book
1987-1988,Track and Field,Juniors,Final Standings,6,NU,National University,,,,TABLE TENNIS,,,book
