# 2003-2004 | Table Tennis | Men's
# Paste into Admin → UAAP Archive → Bulk import

Rank	School	W	L	PTS	Notes
1	UST	13	1	14	Champion
2	UP	13	1	14	Second Place
3	UE	10	4	12	Third Place
4	DLSU	7	7	11	Fourth Place
5	FEU	7	7	11	Fifth Place
6	AdU	4	10	9	Sixth Place
7	ADMU	2	12	8	Seventh Place
8	NU	0	14	7	Eight Place
