season,sport,division,stage,rank,team,wins,losses,pct,details,source_page
2003-2004,Badminton,Men's,Final Standings,1,FEU,5.0,0.0,1.0,Champion,IMG_0553
2003-2004,Badminton,Men's,Final Standings,2,UST,4.0,1.0,0.8,2nd Place,IMG_0553
2003-2004,Badminton,Men's,Final Standings,3,UP,2.0,2.0,0.5,3rd Place,IMG_0553
2003-2004,Badminton,Men's,Final Standings,4,UE,2.0,3.0,0.4,4th Place,IMG_0553
2003-2004,Badminton,Men's,Final Standings,5,DLSU,1.0,3.0,0.25,5th Place,IMG_0553
2003-2004,Badminton,Men's,Final Standings,6,ADMU,0.0,5.0,0.0,6th Place,IMG_0553
2003-2004,Badminton,Women's,Final Standings,1,ADMU,4.0,1.0,0.8,Champion,IMG_0554
2003-2004,Badminton,Women's,Final Standings,2,FEU,4.0,1.0,0.8,2nd Place,IMG_0554
2003-2004,Badminton,Women's,Final Standings,3,DLSU,3.0,2.0,0.6,3rd Place,IMG_0554
2003-2004,Badminton,Women's,Final Standings,4,UST,3.0,2.0,0.6,4th Place,IMG_0554
2003-2004,Badminton,Women's,Final Standings,5,UP,1.0,4.0,0.2,5th Place,IMG_0554
2003-2004,Badminton,Women's,Final Standings,6,UE,0.0,5.0,0.0,6th Place,IMG_0554
2003-2004,Baseball,Men's,Elimination Round,1,UP,9.0,1.0,0.9,,IMG_0587
2003-2004,Baseball,Men's,Elimination Round,2,UST,9.0,1.0,0.9,,IMG_0587
2003-2004,Baseball,Men's,Elimination Round,3,AdU,4.0,6.0,0.4,,IMG_0587
2003-2004,Baseball,Men's,Elimination Round,4,NU,4.0,6.0,0.4,,IMG_0587
2003-2004,Baseball,Men's,Elimination Round,5,DLSU,3.0,7.0,0.3,,IMG_0587
2003-2004,Baseball,Men's,Elimination Round,6,ADMU,1.0,9.0,0.1,,IMG_0587
2003-2004,Baseball,Men's,Final Standings,1,UP,2.0,0.0,1.0,Champion (def. UST in Finals),IMG_0589
2003-2004,Baseball,Men's,Final Standings,2,UST,0.0,2.0,0.0,Runner-Up,IMG_0589
2003-2004,Baseball,Men's,Final Standings,3,AdU,4.0,6.0,0.4,3rd Place,IMG_0587
2003-2004,Baseball,Men's,Final Standings,4,NU,4.0,6.0,0.4,4th Place,IMG_0587
2003-2004,Basketball,Juniors,Elimination Round,1,ADMU,10.0,2.0,0.833,,IMG_0649
2003-2004,Basketball,Juniors,Elimination Round,2,AdU,10.0,2.0,0.833,,IMG_0649
2003-2004,Basketball,Juniors,Elimination Round,3,DLSZ,8.0,4.0,0.667,,IMG_0649
2003-2004,Basketball,Juniors,Elimination Round,4,UE,6.0,6.0,0.5,,IMG_0649
2003-2004,Basketball,Juniors,Elimination Round,5,UST,6.0,6.0,0.5,,IMG_0649
2003-2004,Basketball,Juniors,Elimination Round,6,UPIS,2.0,10.0,0.167,,IMG_0649
2003-2004,Basketball,Juniors,Elimination Round,7,NU,0.0,12.0,0.0,,IMG_0649
2003-2004,Basketball,Men's,Elimination Round,1,ADMU,11.0,3.0,0.786,,IMG_0600
2003-2004,Basketball,Men's,Elimination Round,2,UE,11.0,3.0,0.786,,IMG_0600
2003-2004,Basketball,Men's,Elimination Round,3,FEU,11.0,3.0,0.786,,IMG_0600
2003-2004,Basketball,Men's,Elimination Round,4,DLSU,7.0,7.0,0.5,,IMG_0600
2003-2004,Basketball,Men's,Elimination Round,5,UST,5.0,9.0,0.357,,IMG_0600
