season,sport,division,stage,rank,team,wins,losses,pct,details,source_page
2003-2004,Basketball,Men's,Elimination Round,6,AdU,5.0,9.0,0.357,,IMG_0600
2003-2004,Basketball,Men's,Elimination Round,7,UP,3.0,11.0,0.214,,IMG_0600
2003-2004,Basketball,Men's,Elimination Round,8,NU,3.0,11.0,0.214,,IMG_0600
2003-2004,Basketball,Men's,Final Standings,1,FEU,11.0,3.0,0.786,Champion,IMG_0591
2003-2004,Basketball,Men's,Final Standings,1,UE,11.0,3.0,0.786,GUARD,IMG_0591
2003-2004,Basketball,Men's,Final Standings,2,ADMU,11.0,3.0,0.786,2<sup>nd</sup> Place,IMG_0591
2003-2004,Basketball,Men's,Final Standings,2,UE,11.0,3.0,0.786,OFF-GUARD,IMG_0591
2003-2004,Basketball,Men's,Final Standings,3,UE,11.0,3.0,0.786,3<sup>rd</sup> Place,IMG_0591
2003-2004,Basketball,Men's,Final Standings,3,FEU,11.0,3.0,0.786,FORWARD,IMG_0591
2003-2004,Basketball,Men's,Final Standings,4,DLSU,7.0,7.0,0.5,4<sup>th</sup> Place,IMG_0591
2003-2004,Basketball,Men's,Final Standings,4,ADMU,11.0,3.0,0.786,POWER-FORWARD,IMG_0591
2003-2004,Basketball,Men's,Final Standings,5,AdU,5.0,9.0,0.357,5<sup>th</sup> Place,IMG_0591
2003-2004,Basketball,Men's,Final Standings,5,NU,3.0,11.0,0.214,CENTER,IMG_0591
2003-2004,Basketball,Men's,Final Standings,6,UST,5.0,9.0,0.357,6<sup>th</sup> Place,IMG_0591
2003-2004,Basketball,Men's,Final Standings,7,UP,3.0,11.0,0.214,7<sup>th</sup> Place,IMG_0591
2003-2004,Basketball,Men's,Final Standings,8,NU,3.0,11.0,0.214,8<sup>th</sup> Place,IMG_0591
2003-2004,Basketball,Women's,Elimination Round,1,AdU,11.0,1.0,0.917,,IMG_0624
2003-2004,Basketball,Women's,Elimination Round,2,UP,8.0,4.0,0.667,,IMG_0624
2003-2004,Basketball,Women's,Elimination Round,3,ADMU,7.0,5.0,0.583,,IMG_0624
2003-2004,Basketball,Women's,Elimination Round,4,DLSU,7.0,5.0,0.583,,IMG_0624
2003-2004,Basketball,Women's,Elimination Round,5,UST,5.0,7.0,0.417,,IMG_0624
2003-2004,Basketball,Women's,Elimination Round,6,FEU,4.0,8.0,0.333,,IMG_0624
2003-2004,Basketball,Women's,Elimination Round,7,UE,0.0,12.0,0.0,,IMG_0624
2003-2004,Basketball,Women's,Final Standings,1,AdU,11.0,1.0,0.917,Champion,IMG_0593
2003-2004,Basketball,Women's,Final Standings,2,UP,8.0,4.0,0.667,2<sup>nd</sup> Place,IMG_0593
2003-2004,Basketball,Women's,Final Standings,3,DLSU,7.0,5.0,0.583,3<sup>rd</sup> Place,IMG_0593
2003-2004,Basketball,Women's,Final Standings,4,ADMU,7.0,5.0,0.583,4<sup>th</sup> Place,IMG_0593
2003-2004,Basketball,Women's,Final Standings,5,UST,5.0,7.0,0.417,5<sup>th</sup> Place,IMG_0593
2003-2004,Basketball,Women's,Final Standings,6,FEU,4.0,8.0,0.333,6<sup>th</sup> Place,IMG_0593
2003-2004,Basketball,Women's,Final Standings,7,UE,0.0,12.0,0.0,7<sup>th</sup> Place,IMG_0593
2003-2004,Chess,Juniors,Final Standings,1,UST,,,,Champion,IMG_0684
2003-2004,Chess,Juniors,Final Standings,2,UE,,,,2nd Place,IMG_0684
2003-2004,Chess,Juniors,Final Standings,3,AdU,,,,3rd Place,IMG_0684
2003-2004,Chess,Juniors,Final Standings,4,UP,,,,4th Place,IMG_0684
2003-2004,Chess,Juniors,Final Standings,5,DLSU,,,,5th Place,IMG_0684
2003-2004,Fencing,Men's,Final Standings,1,UE,,,,Champion,IMG_0686
2003-2004,Fencing,Men's,Final Standings,2,UST,,,,2nd Place,IMG_0686
2003-2004,Fencing,Men's,Final Standings,3,UP,,,,3rd Place,IMG_0686
2003-2004,Fencing,Men's,Final Standings,4,ADMU,,,,4th Place,IMG_0686
2003-2004,Fencing,Women's,Final Standings,1,UST,,,,Champion,IMG_0686
2003-2004,Fencing,Women's,Final Standings,2,UP,,,,2nd Place,IMG_0686
2003-2004,Fencing,Women's,Final Standings,3,UE,,,,3rd Place,IMG_0686
2003-2004,Fencing,Women's,Final Standings,4,ADMU,,,,4th Place,IMG_0686
2003-2004,Football,Men's,Elimination Round,1,ADMU,7.0,2.0,0.778,"Points: 23, GD: 7",IMG_0720
2003-2004,Football,Men's,Elimination Round,2,UP,5.0,2.0,0.714,"Points: 19, GD: 5",IMG_0720
2003-2004,Football,Men's,Elimination Round,3,FEU,4.0,2.0,0.667,"Points: 16, GD: 3",IMG_0720
2003-2004,Football,Men's,Elimination Round,4,UST,3.0,3.0,0.5,"Points: 13, GD: 0",IMG_0720
2003-2004,Football,Men's,Elimination Round,5,UE,2.0,5.0,0.286,"Points: 9, GD: -3",IMG_0720
2003-2004,Football,Men's,Elimination Round,6,DLSU,0.0,7.0,0.0,"Points: 3, GD: -12",IMG_0720
2003-2004,Judo,Men's,Final Standings,1,UST,4.0,0.0,1.0,Champion,IMG_0727
2003-2004,Judo,Men's,Final Standings,2,DLSU,3.0,1.0,0.75,2nd Place,IMG_0727
2003-2004,Judo,Men's,Final Standings,3,UP,2.0,2.0,0.5,3rd Place,IMG_0727
2003-2004,Judo,Men's,Final Standings,4,ADMU,1.0,3.0,0.25,4th Place,IMG_0727
2003-2004,Judo,Men's,Final Standings,5,UE,0.0,4.0,0.0,5th Place,IMG_0727
2003-2004,Judo,Women's,Final Standings,1,UP,3.0,0.0,1.0,Champion,IMG_0731
2003-2004,Judo,Women's,Final Standings,2,UST,4.0,-1.0,1.333,2nd Place,IMG_0731
2003-2004,Judo,Women's,Final Standings,3,DLSU,1.0,2.0,0.333,3rd Place,IMG_0731
2003-2004,Judo,Women's,Final Standings,4,ADMU,2.0,1.0,0.667,4th Place,IMG_0731
2003-2004,Softball,Women's,Final Standings,1,AdU,10.0,3.0,0.769,"Record after 2 rounds, playoff and championship",IMG_0743
2003-2004,Softball,Women's,Final Standings,2,UST,8.0,6.0,0.571,"Record after 2 rounds, playoff and championship",IMG_0743
2003-2004,Softball,Women's,Final Standings,3,UE,9.0,3.0,0.75,"Record after 2 rounds, playoff and championship",IMG_0743
2003-2004,Softball,Women's,Final Standings,4,UP,6.0,5.0,0.545,"Record after 2 rounds, playoff and championship",IMG_0743
2003-2004,Softball,Women's,Final Standings,5,DLSU,2.0,8.0,0.2,"Record after 2 rounds, playoff and championship",IMG_0743
2003-2004,Softball,Women's,Final Standings,6,ADMU,0.0,10.0,0.0,"Record after 2 rounds, playoff and championship",IMG_0743
2003-2004,Table Tennis,Men's,Elimination Round,1,UP,7.0,0.0,,Match score: 7 - 0 21 - 2,IMG_0748
2003-2004,Table Tennis,Men's,Elimination Round,2,UST,6.0,1.0,0.857,Match score: 6 - 1 19 - 5,IMG_0748
2003-2004,Table Tennis,Men's,Elimination Round,3,UE,5.0,2.0,0.714,Match score: 5 - 2 16 - 9,IMG_0748
2003-2004,Table Tennis,Men's,Elimination Round,4,FEU,4.0,3.0,0.571,Match score: 4 - 3 13 - 12,IMG_0748
2003-2004,Table Tennis,Men's,Elimination Round,5,DLSU,3.0,4.0,0.429,Match score: 3 - 4 13 - 14,IMG_0748
2003-2004,Table Tennis,Men's,Elimination Round,6,AdU,2.0,5.0,0.286,Match score: 2 - 5 9 - 15,IMG_0748
2003-2004,Table Tennis,Men's,Elimination Round,7,ADMU,1.0,6.0,0.143,Match score: 1 - 6 4 - 18,IMG_0748
2003-2004,Table Tennis,Men's,Elimination Round,8,NU,0.0,7.0,,Match score: 0 - 7 1 - 21,IMG_0748
2003-2004,Table Tennis,Women's,Elimination Round,1,UST,7.0,0.0,,Match score: 7 - 0 21 - 4,IMG_0751
2003-2004,Table Tennis,Women's,Elimination Round,2,FEU,6.0,1.0,0.857,Match score: 6 - 1 19 - 4,IMG_0751
2003-2004,Table Tennis,Women's,Elimination Round,3,AdU,4.0,3.0,0.571,Match score: 4 - 3 14 - 14,IMG_0751
2003-2004,Table Tennis,Women's,Elimination Round,4,UP,4.0,3.0,0.571,Match score: 4 - 3 16 - 12,IMG_0751
2003-2004,Table Tennis,Women's,Elimination Round,5,DLSU,3.0,4.0,0.429,Match score: 3 - 4 12 - 16,IMG_0751
2003-2004,Table Tennis,Women's,Elimination Round,6,ADMU,2.0,5.0,0.286,Match score: 2 - 5 11 - 16,IMG_0751
2003-2004,Table Tennis,Women's,Elimination Round,7,UE,2.0,5.0,0.286,Match score: 2 - 5 9 - 16,IMG_0751
2003-2004,Table Tennis,Women's,Elimination Round,8,NU,0.0,7.0,,Match score: 0 - 7 1 - 21,IMG_0751
2003-2004,Tae Kwon Do,Men's,Final Standings,1,UST,5.0,0.0,1.0,,IMG_0765
2003-2004,Tae Kwon Do,Men's,Final Standings,2,UE,3.0,2.0,0.6,,IMG_0765
2003-2004,Tae Kwon Do,Men's,Final Standings,3,DLSU,3.0,2.0,0.6,,IMG_0765
2003-2004,Tae Kwon Do,Men's,Final Standings,4,UP,2.0,3.0,0.4,,IMG_0765
2003-2004,Tae Kwon Do,Men's,Final Standings,5,FEU,1.0,4.0,0.2,,IMG_0765
2003-2004,Tae Kwon Do,Men's,Final Standings,6,ADMU,1.0,4.0,0.2,,IMG_0765
2003-2004,Tae Kwon Do,Women's,Final Standings,1,UST,5.0,0.0,1.0,,IMG_0765
2003-2004,Tae Kwon Do,Women's,Final Standings,2,UP,4.0,1.0,0.8,,IMG_0765
2003-2004,Tae Kwon Do,Women's,Final Standings,3,UE,3.0,2.0,0.6,,IMG_0765
2003-2004,Tae Kwon Do,Women's,Final Standings,4,FEU,2.0,3.0,0.4,,IMG_0765
2003-2004,Tae Kwon Do,Women's,Final Standings,5,ADMU,1.0,4.0,0.2,,IMG_0765
2003-2004,Tae Kwon Do,Women's,Final Standings,6,DLSU,0.0,5.0,0.0,,IMG_0765
2003-2004,Volleyball,Girls,Final Standings,1,UST,6.0,0.0,1.0,Standing after two rounds,IMG_0787
2003-2004,Volleyball,Girls,Final Standings,2,UE,4.0,2.0,0.667,Standing after two rounds,IMG_0787
2003-2004,Volleyball,Girls,Final Standings,3,DLSU,2.0,4.0,0.333,Standing after two rounds,IMG_0787
2003-2004,Volleyball,Girls,Final Standings,4,UP,0.0,6.0,0.0,Standing after two rounds,IMG_0787
2003-2004,Volleyball,Men's,Elimination Round,1,DLSU,13.0,1.0,0.929,,IMG_0775
2003-2004,Volleyball,Men's,Elimination Round,2,UP,11.0,3.0,0.786,,IMG_0775
2003-2004,Volleyball,Men's,Elimination Round,3,FEU,11.0,3.0,0.786,,IMG_0775
2003-2004,Volleyball,Men's,Elimination Round,4,AdU,7.0,7.0,0.5,,IMG_0775
2003-2004,Volleyball,Men's,Elimination Round,5,UST,7.0,7.0,0.5,,IMG_0775
2003-2004,Volleyball,Men's,Elimination Round,6,UE,4.0,10.0,0.286,,IMG_0775
2003-2004,Volleyball,Men's,Elimination Round,7,NU,3.0,11.0,0.214,,IMG_0775
2003-2004,Volleyball,Men's,Elimination Round,8,ADMU,0.0,14.0,0.0,,IMG_0775
2003-2004,Volleyball,Men's,Final Standings,1,DLSU,13.0,1.0,0.929,Champion,IMG_0775
2003-2004,Volleyball,Men's,Final Standings,2,UP,11.0,3.0,0.786,Runner-Up,IMG_0775
2003-2004,Volleyball,Men's,Final Standings,3,FEU,11.0,3.0,0.786,3rd Place,IMG_0775
2003-2004,Volleyball,Men's,Final Standings,4,AdU,7.0,7.0,0.5,4th Place,IMG_0775
2003-2004,Volleyball,Men's,Final Standings,5,UST,7.0,7.0,0.5,5th Place,IMG_0775
2003-2004,Volleyball,Men's,Final Standings,6,UE,4.0,10.0,0.286,6th Place,IMG_0775
2003-2004,Volleyball,Men's,Final Standings,7,NU,3.0,11.0,0.214,7th Place,IMG_0775
2003-2004,Volleyball,Men's,Final Standings,8,ADMU,0.0,14.0,0.0,8th Place,IMG_0775
2003-2004,Volleyball,Women's,Elimination Round,1,FEU,13.0,1.0,0.929,,IMG_0779
2003-2004,Volleyball,Women's,Elimination Round,2,UST,12.0,2.0,0.857,,IMG_0779
2003-2004,Volleyball,Women's,Elimination Round,3,DLSU,11.0,3.0,0.786,,IMG_0779
2003-2004,Volleyball,Women's,Elimination Round,4,UE,8.0,6.0,0.571,,IMG_0779
2003-2004,Volleyball,Women's,Elimination Round,5,UP,5.0,9.0,0.357,,IMG_0779
2003-2004,Volleyball,Women's,Elimination Round,6,ADMU,4.0,10.0,0.286,,IMG_0779
2003-2004,Volleyball,Women's,Elimination Round,7,AdU,3.0,11.0,0.214,,IMG_0779
2003-2004,Volleyball,Women's,Elimination Round,8,NU,0.0,14.0,0.0,,IMG_0779
